X,Y
3.516,0.0
3.500910394,-0.01451073
3.475820789,-0.038695279
3.450731183,-0.067716738
3.431913978,-0.106738197
3.399369176,-0.255433476
3.399369176,-0.325536481
3.399369176,-0.75455794
3.411913978,-0.788416309
3.430731183,-0.817437768
3.455820789,-0.841622318
3.480910394,-0.860969957
3.512272401,-0.880317597
3.54990681,-0.899665236
3.587541219,-0.914175966
3.625175627,-0.928686695
3.675354839,-0.943197425
3.756896057,-0.967381974
3.826164875,-0.991566524
3.882344086,-1.010914163
3.932523297,-1.035098712
4.007792115,-1.078630901
4.070516129,-1.12216309
4.120695341,-1.160858369
4.152057348,-1.189879828
4.183419355,-1.218901288
4.221053763,-1.262433476
4.264960573,-1.320476395
4.308867384,-1.383356223
4.359046595,-1.48493133
4.377863799,-1.533300429
4.396681004,-1.591343348
4.409225806,-1.644549356
4.421770609,-1.697755365
4.428043011,-1.765472103
4.428043011,-1.847699571
4.421770609,-1.925090129
4.402953405,-2.021828326
4.377863799,-2.113729614
4.333956989,-2.210467811
4.283777778,-2.292695279
4.233598566,-2.365248927
4.183419355,-2.423291845
4.120695341,-2.481334764
4.057971326,-2.529703863
4.001519713,-2.568399142
3.926250896,-2.61193133
3.863526882,-2.64095279
3.807075269,-2.665137339
3.750623656,-2.684484979
3.694172043,-2.698995708
3.631448029,-2.713506438
3.574996416,-2.723180258
3.518544803,-2.728017167
3.455820789,-2.728017167
3.393096774,-2.728017167
3.33037276,-2.723180258
3.267648746,-2.713506438
3.204924731,-2.698995708
3.148473118,-2.684484979
3.085749104,-2.665137339
3.029297491,-2.64095279
0.419978495,-1.204390558
0.363526882,-1.180206009
0.307075269,-1.160858369
0.256896057,-1.146347639
0.212989247,-1.13667382
0.162810036,-1.13183691
0.100086022,-1.127
0.0,-1.127
