X,Y
3.4934942,0.0136492
3.4587308,-0.0324533
3.4275456,-0.0784980
3.3998699,-0.1243778
3.3756349,-0.1699854
3.3547721,-0.2152137
3.3372127,-0.2599555
3.3228881,-0.3041037
3.3117295,-0.3475510
3.3036682,-0.3901902
3.2986357,-0.4319142
3.2965631,-0.4726158
3.2973818,-0.5121878
3.3010231,-0.5505231
3.3074183,-0.5875144
3.3164987,-0.6230546
3.3281957,-0.6570364
3.3424405,-0.6893528
3.3591644,-0.7198965
3.3782988,-0.7485603
3.3997750,-0.7752371
3.4235243,-0.7998197
3.4494779,-0.8222008
3.4775650,-0.8422791
3.5076351,-0.8601560
3.5394380,-0.8761876
3.5727170,-0.8907458
3.6072158,-0.9042026
3.6426777,-0.9169302
3.6788462,-0.9293005
3.7154649,-0.9416856
3.7522771,-0.9544575
3.7890265,-0.9679881
3.8254563,-0.9826496
3.8613459,-0.9987410
3.8966122,-1.0162785
3.9312060,-1.0352100
3.9650778,-1.0554833
3.9981781,-1.0770461
4.0304576,-1.0998463
4.0618668,-1.1238317
4.0923564,-1.1489500
4.1218769,-1.1751492
4.1503789,-1.2023769
4.1778130,-1.2305810
4.2041298,-1.2597094
4.2292799,-1.2897098
4.2532138,-1.3205300
4.2758822,-1.3521178
4.2972356,-1.3844211
4.3172246,-1.4173876
4.3357998,-1.4509651
4.3529118,-1.4851015
4.3685112,-1.5197446
4.3825485,-1.5548421
4.3949744,-1.5903419
4.4057394,-1.6261918
4.4147942,-1.6623396
4.4220892,-1.6987330
4.4275752,-1.7353200
4.4312026,-1.7720482
4.4329221,-1.8088656
4.4326842,-1.8457199
4.4304589,-1.8825583
4.4262851,-1.9193265
4.4202168,-1.9559693
4.4123085,-1.9924319
4.4026143,-2.0286592
4.3911885,-2.0645963
4.3780853,-2.1001883
4.3633589,-2.1353802
4.3470635,-2.1701171
4.3292535,-2.2043439
4.3099830,-2.2380057
4.2893062,-2.2710475
4.2672775,-2.3034145
4.2439510,-2.3350516
4.2193809,-2.3659038
4.1936216,-2.3959163
4.1667272,-2.4250340
4.1387520,-2.4532020
4.1097501,-2.4803653
4.0797760,-2.5064690
4.0488837,-2.5314581
4.0171275,-2.5552776
3.9845616,-2.5778726
3.9512404,-2.5991882
3.9172179,-2.6191693
3.8825485,-2.6377610
3.8472864,-2.6549084
3.8114858,-2.6705564
3.7752009,-2.6846502
3.7384860,-2.6971347
3.7013954,-2.7079551
3.6639832,-2.7170562
3.6263037,-2.7243833
3.5884111,-2.7298813
3.5503583,-2.7335024
3.5121828,-2.7352854
3.4739115,-2.7353267
3.4355713,-2.7337236
3.3971888,-2.7305734
3.3587910,-2.7259736
3.3204047,-2.7200214
3.2820566,-2.7128143
3.2437735,-2.7044495
3.2055824,-2.6950245
3.1675099,-2.6846366
3.1295829,-2.6733831
3.0918282,-2.6613615
3.0542726,-2.6486690
3.0169429,-2.6354028
2.9798561,-2.6216358
2.9430089,-2.6073886
2.9063950,-2.5926751
2.8700084,-2.5775093
2.8338430,-2.5619052
2.7978926,-2.5458767
2.7621512,-2.5294378
2.7266127,-2.5126024
2.6912709,-2.4953845
2.6561198,-2.4777981
2.6211532,-2.4598570
2.5863650,-2.4415754
2.5517492,-2.4229672
2.5172996,-2.4040462
2.4830101,-2.3848265
2.4488746,-2.3653220
2.4148870,-2.3455467
2.3810413,-2.3255146
2.3473312,-2.3052395
2.3137507,-2.2847356
2.2802937,-2.2640167
2.2469540,-2.2430967
2.2137257,-2.2219897
2.1806025,-2.2007097
2.1475783,-2.1792705
2.1146472,-2.1576861
2.0818028,-2.1359706
2.0490392,-2.1141378
2.0163503,-2.0922017
1.9837298,-2.0701763
1.9511718,-2.0480755
1.9186701,-2.0259134
1.8862186,-2.0037038
1.8538113,-1.9814607
1.8214419,-1.9591981
1.7891044,-1.9369300
1.7567927,-1.9146702
1.7245007,-1.8924329
1.6922223,-1.8702318
1.6599513,-1.8480811
1.6276817,-1.8259946
1.5954074,-1.8039863
1.5631222,-1.7820701
1.5308201,-1.7602601
1.4984949,-1.7385702
1.4661406,-1.7170144
1.4337509,-1.6956065
1.4013199,-1.6743607
1.3688415,-1.6532908
1.3363094,-1.6324107
1.3037176,-1.6117346
1.2710601,-1.5912762
1.2383306,-1.5710496
1.2055231,-1.5510688
1.1726315,-1.5313477
1.1396497,-1.5119002
1.1065716,-1.4927404
1.0733910,-1.4738821
1.0401019,-1.4553394
1.0066981,-1.4371262
0.9731736,-1.4192564
0.9395223,-1.4017441
0.9057379,-1.3846032
0.8718145,-1.3678476
0.8377460,-1.3514913
0.8035261,-1.3355483
0.7691489,-1.3200326
0.7346081,-1.3049580
0.6998978,-1.2903386
0.6650118,-1.2761883
0.6299439,-1.2625210
0.5946882,-1.2493508
0.5592384,-1.2366916
0.5235885,-1.2245574
0.4877323,-1.2129621
0.4516639,-1.2019196
0.4153769,-1.1914440
0.3788654,-1.1815492
0.3421233,-1.1722492
0.3051444,-1.1635578
0.2679227,-1.1554892
0.2304519,-1.1480572
0.1927261,-1.1412758
0.1547391,-1.1351590
0.1164848,-1.1297207
0.0779571,-1.1249749
0.0391499,-1.1209356
0.0000571,-1.1176166
