X,Y
3.4915512,0.0063117
3.4704931,-0.0183787
3.4494282,-0.0459137
3.4286183,-0.0760066
3.4083245,-0.1083706
3.3888085,-0.1427189
3.3703315,-0.1787649
3.3531552,-0.2162218
3.3375408,-0.2548029
3.3237498,-0.2942213
3.3120438,-0.3341905
3.3026840,-0.3744236
3.2959320,-0.4146340
3.2920491,-0.4545348
3.2912969,-0.4938393
3.2939367,-0.5322609
3.3002270,-0.5695142
3.3102341,-0.6054044
3.3237191,-0.6398809
3.3404157,-0.6729057
3.3600580,-0.7044409
3.3823797,-0.7344486
3.4071147,-0.7628909
3.4339970,-0.7897299
3.4627604,-0.8149276
3.4931388,-0.8384462
3.5248660,-0.8602477
3.5576787,-0.8803005
3.5913780,-0.8987203
3.6258293,-0.9157697
3.6609009,-0.9317178
3.6964610,-0.9468339
3.7323780,-0.9613870
3.7685199,-0.9756464
3.8047552,-0.9898811
3.8409521,-1.0043602
3.8769788,-1.0193531
3.9127035,-1.0351287
3.9479947,-1.0519562
3.9827204,-1.0701048
4.0167508,-1.0898294
4.0499787,-1.1111958
4.0823133,-1.1341349
4.1136644,-1.1585750
4.1439414,-1.1844440
4.1730539,-1.2116702
4.2009117,-1.2401817
4.2274242,-1.2699066
4.2525011,-1.3007731
4.2760520,-1.3327092
4.2979865,-1.3656431
4.3182142,-1.3995030
4.3366481,-1.4342167
4.3532564,-1.4697091
4.3680518,-1.5059026
4.3810485,-1.5427195
4.3922604,-1.5800821
4.4017015,-1.6179127
4.4093860,-1.6561336
4.4153279,-1.6946671
4.4195412,-1.7334354
4.4220399,-1.7723610
4.4228382,-1.8113661
4.4219499,-1.8503729
4.4193892,-1.8893038
4.4151702,-1.9280811
4.4093068,-1.9666272
4.4018131,-2.0048642
4.3927031,-2.0427144
4.3819909,-2.0801003
4.3696905,-2.1169441
4.3558159,-2.1531680
4.3403813,-2.1886944
4.3234006,-2.2234457
4.3048879,-2.2573440
4.2848572,-2.2903117
4.2633232,-2.3222718
4.2403231,-2.3531733
4.2159209,-2.3829962
4.1901823,-2.4117221
4.1631730,-2.4393330
4.1349586,-2.4658106
4.1056048,-2.4911368
4.0751773,-2.5152932
4.0437417,-2.5382619
4.0113637,-2.5600245
3.9781091,-2.5805629
3.9440434,-2.5998588
3.9092323,-2.6178941
3.8737416,-2.6346506
3.8376368,-2.6501100
3.8009836,-2.6642543
3.7638478,-2.6770651
3.7262950,-2.6885244
3.6883908,-2.6986139
3.6502010,-2.7073153
3.6117911,-2.7146106
3.5732270,-2.7204815
3.5345742,-2.7249099
3.4958984,-2.7278775
3.4572653,-2.7293661
3.4187399,-2.7293584
3.3803612,-2.7278676
3.3421334,-2.7249482
3.3040586,-2.7206573
3.2661386,-2.7150520
3.2283754,-2.7081894
3.1907709,-2.7001267
3.1533272,-2.6909211
3.1160461,-2.6806295
3.0789295,-2.6693093
3.0419795,-2.6570174
3.0051979,-2.6438111
2.9685868,-2.6297475
2.9321480,-2.6148837
2.8958834,-2.5992768
2.8597952,-2.5829840
2.8238851,-2.5660624
2.7881551,-2.5485692
2.7526072,-2.5305615
2.7172433,-2.5120963
2.6820653,-2.4932309
2.6470753,-2.4740224
2.6122751,-2.4545279
2.5776666,-2.4348046
2.5432519,-2.4149095
2.5090329,-2.3948998
2.4750080,-2.3748155
2.4411685,-2.3546613
2.4075047,-2.3344374
2.3740072,-2.3141441
2.3406661,-2.2937815
2.3074719,-2.2733498
2.2744150,-2.2528493
2.2414857,-2.2322800
2.2086743,-2.2116423
2.1759713,-2.1909363
2.1433671,-2.1701621
2.1108519,-2.1493201
2.0784161,-2.1284104
2.0460502,-2.1074332
2.0137444,-2.0863887
1.9814892,-2.0652771
1.9492749,-2.0440986
1.9170919,-2.0228534
1.8849305,-2.0015417
1.8527812,-1.9801637
1.8206342,-1.9587195
1.7884800,-1.9372095
1.7563089,-1.9156337
1.7241113,-1.8939924
1.6918775,-1.8722858
1.6595987,-1.8505178
1.6272693,-1.8287053
1.5948839,-1.8068682
1.5624375,-1.7850264
1.5299248,-1.7631998
1.4973409,-1.7414082
1.4646804,-1.7196716
1.4319384,-1.6980098
1.3991096,-1.6764427
1.3661888,-1.6549901
1.3331710,-1.6336720
1.3000510,-1.6125083
1.2668236,-1.5915188
1.2334838,-1.5707234
1.2000263,-1.5501420
1.1664460,-1.5297944
1.1327378,-1.5097006
1.0988965,-1.4898804
1.0649169,-1.4703537
1.0307941,-1.4511404
0.9965227,-1.4322604
0.9620976,-1.4137335
0.9275138,-1.3955797
0.8927660,-1.3778187
0.8578491,-1.3604706
0.8227579,-1.3435551
0.7874874,-1.3270922
0.7520324,-1.3111017
0.7163877,-1.2956035
0.6805481,-1.2806175
0.6445086,-1.2661636
0.6082640,-1.2522617
0.5718092,-1.2389316
0.5351389,-1.2261932
0.4982481,-1.2140664
0.4611316,-1.2025710
0.4237843,-1.1917271
0.3862010,-1.1815544
0.3483765,-1.1720728
0.3103059,-1.1633022
0.2719837,-1.1552625
0.2334051,-1.1479735
0.1945647,-1.1414552
0.1554575,-1.1357275
0.1160783,-1.1308101
0.0764219,-1.1267230
0.0364832,-1.1234861
-0.0037428,-1.1211193
